Name	Trim Slug	Family	Name	Variation 1	Variation 2	Variation 3	Variation 4	Variation 5	Variation 6
Alekhine's Defense: Exchange, Karpov Variation	Alekhines-Defense-Exchange-Karpov-Variation	Alekhine's Defense	Alekhine's Defense	Exchange Variation	Karpov Variation				
Alekhine's Defense: Exchange Variation	Alekhines-Defense-Exchange-Variation	Alekhine's Defense	Alekhine's Defense	Exchange Variation					
Alekhine's Defense: Four Pawns Attack	Alekhines-Defense-Four-Pawns-Attack	Alekhine's Defense	Alekhine's Defense	Four Pawns Attack					
Alekhine's Defense: Four Pawns, Cambridge Gambit	Alekhines-Defense-Four-Pawns-Cambridge-Gambit	Alekhine's Defense	Alekhine's Defense	Four Pawns Attack	Cambridge Gambit				
Alekhine's Defense: Four Pawns, Fianchetto Variation	Alekhines-Defense-Four-Pawns-Fianchetto-Variation	Alekhine's Defense	Alekhine's Defense	Four Pawns Attack	Fianchetto Variation				
Alekhine's Defense: Four Pawns, Ilyin-Zhenevsky Variation	Alekhines-Defense-Four-Pawns-Ilyin-Zhenevsky-Variation	Alekhine's Defense	Alekhine's Defense	Four Pawns Attack	Ilyin-Zhenevsky Variation				
Alekhine's Defense: Four Pawns, Korchnoi Variation	Alekhines-Defense-Four-Pawns-Korchnoi-Variation	Alekhine's Defense	Alekhine's Defense	Four Pawns Attack	Korchnoi Variation				
Alekhine's Defense: Four Pawns, Main Line	Alekhines-Defense-Four-Pawns-Main-Line	Alekhine's Defense	Alekhine's Defense	Four Pawns Attack	Main Line				
Alekhine's Defense: Four Pawns, Main Line, Tartakower Variation	Alekhines-Defense-Four-Pawns-Main-Line-Tartakower-Variation	Alekhine's Defense	Alekhine's Defense	Four Pawns Attack	Main Line	Tartakower Variation			
Alekhine's Defense: Four Pawns, Trifunović Variation	Alekhines-Defense-Four-Pawns-Trifunovic-Variation	Alekhine's Defense	Alekhine's Defense	Four Pawns Attack	Trifunović Variation				
Alekhine's Defense: Hunt Variation	Alekhines-Defense-Hunt-Variation	Alekhine's Defense	Alekhine's Defense	Hunt Variation					
Alekhine's Defense: John Tracy Gambit	Alekhines-Defense-John-Tracy-Gambit	Alekhine's Defense	Alekhine's Defense	John Tracy Gambit					
Alekhine's Defense: Kmoch Variation	Alekhines-Defense-Kmoch-Variation	Alekhine's Defense	Alekhine's Defense	Kmoch Variation					
Alekhine's Defense: Krejcik Variation	Alekhines-Defense-Krejcik-Variation	Alekhine's Defense	Alekhine's Defense	Krejcik Variation					
Alekhine's Defense: Krejcik Variation, Krejcik Gambit	Alekhines-Defense-Krejcik-Variation-Krejcik-Gambit	Alekhine's Defense	Alekhine's Defense	Krejcik Variation	Krejcik Gambit				
Alekhine's Defense: Maróczy Variation	Alekhines-Defense-Maroczy-Variation	Alekhine's Defense	Alekhine's Defense	Maróczy Variation					
Alekhine's Defense: Modern, Alburt, Karpov Variation	Alekhines-Defense-Modern-Alburt-Karpov-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation	Alburt Variation	Karpov Variation			
Alekhine's Defense: Modern, Alburt, Keres Variation	Alekhines-Defense-Modern-Alburt-Keres-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation	Alburt Variation	Keres Variation			
Alekhine's Defense: Modern, Alburt Variation	Alekhines-Defense-Modern-Alburt-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation	Alburt Variation				
Alekhine's Defense: Modern, Larsen-Haakert Variation	Alekhines-Defense-Modern-Larsen-Haakert-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation	Larsen-Haakert Variation				
Alekhine's Defense: Modern, Larsen Variation	Alekhines-Defense-Modern-Larsen-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation	Larsen Variation				
Alekhine's Defense: Modern, Main Line	Alekhines-Defense-Modern-Main-Line	Alekhine's Defense	Alekhine's Defense	Modern Variation	Main Line				
Alekhine's Defense: Modern, Main Line, Alekhine Variation	Alekhines-Defense-Modern-Main-Line-Alekhine-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation	Main Line	Alekhine Variation			
Alekhine's Defense: Modern, Main Line, Alekhine Variation, Alekhine Gambit	Alekhines-Defense-Modern-Main-Line-Alekhine-Variation-Alekhine-Gambit	Alekhine's Defense	Alekhine's Defense	Modern Variation	Main Line	Alekhine Variation	Alekhine Gambit		
Alekhine's Defense: Modern, Main Line, Alekhine Variation, Vītoliņš Attack	Alekhines-Defense-Modern-Main-Line-Alekhine-Variation-Vitolins-Attack	Alekhine's Defense	Alekhine's Defense	Modern Variation	Main Line	Alekhine Variation	Vītoliņš Attack		
Alekhine's Defense: Modern, Main Line, Flohr Variation	Alekhines-Defense-Modern-Main-Line-Flohr-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation	Main Line	Flohr Variation			
Alekhine's Defense: Modern, Main Line, Panov Variation	Alekhines-Defense-Modern-Main-Line-Panov-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation	Main Line	Panov Variation			
Alekhine's Defense: Modern, Schmid Variation	Alekhines-Defense-Modern-Schmid-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation	Schmid Variation				
Alekhine's Defense: Modern Variation	Alekhines-Defense-Modern-Variation	Alekhine's Defense	Alekhine's Defense	Modern Variation					
Alekhine's Defense: Mokele Mbembe, Modern Line	Alekhines-Defense-Mokele-Mbembe-Modern-Line	Alekhine's Defense	Alekhine's Defense	Mokele Mbembe Variation	Modern Line				
Alekhine's Defense: Mokele Mbembe Variation	Alekhines-Defense-Mokele-Mbembe-Variation	Alekhine's Defense	Alekhine's Defense	Mokele Mbembe Variation					
Alekhine's Defense: Mokele Mbembe, Vavra Defense	Alekhines-Defense-Mokele-Mbembe-Vavra-Defense	Alekhine's Defense	Alekhine's Defense	Mokele Mbembe Variation	Vavra Defense				
Alekhine's Defense: Normal Variation	Alekhines-Defense-Normal-Variation	Alekhine's Defense	Alekhine's Defense	Normal Variation					
Alekhine's Defense: O'Sullivan Gambit	Alekhines-Defense-OSullivan-Gambit	Alekhine's Defense	Alekhine's Defense	O'Sullivan Gambit					
Alekhine's Defense: Sämisch Attack	Alekhines-Defense-Samisch-Attack	Alekhine's Defense	Alekhine's Defense	Sämisch Attack					
Alekhine's Defense: Scandinavian, Geschev Gambit	Alekhines-Defense-Scandinavian-Geschev-Gambit	Alekhine's Defense	Alekhine's Defense	Scandinavian Variation	Geschev Gambit				
Alekhine's Defense: Scandinavian, Myers Gambit	Alekhines-Defense-Scandinavian-Myers-Gambit	Alekhine's Defense	Alekhine's Defense	Scandinavian Variation	Myers Gambit				
Alekhine's Defense: Scandinavian, Spielmann Gambit	Alekhines-Defense-Scandinavian-Spielmann-Gambit	Alekhine's Defense	Alekhine's Defense	Scandinavian Variation	Spielmann Gambit				
Alekhine's Defense: Scandinavian Variation	Alekhines-Defense-Scandinavian-Variation	Alekhine's Defense	Alekhine's Defense	Scandinavian Variation					
Alekhine's Defense: Two Pawns Attack	Alekhines-Defense-Two-Pawns-Attack	Alekhine's Defense	Alekhine's Defense	Two Pawns Attack					
Alekhine's Defense: Two Pawns, Lasker Variation	Alekhines-Defense-Two-Pawns-Lasker-Variation	Alekhine's Defense	Alekhine's Defense	Two Pawns Attack	Lasker Variation				
Alekhine's Defense: Two Pawns, Lasker Variation, Matsukevich Gambit	Alekhines-Defense-Two-Pawns-Lasker-Variation-Matsukevich-Gambit	Alekhine's Defense	Alekhine's Defense	Two Pawns Attack	Lasker Variation	Matsukevich Gambit			
Alekhine's Defense: Two Pawns, Lasker Variation, Mikėnas Variation	Alekhines-Defense-Two-Pawns-Lasker-Variation-Mikenas-Variation	Alekhine's Defense	Alekhine's Defense	Two Pawns Attack	Lasker Variation	Mikėnas Variation			
Alekhine's Defense: Two Pawns, Lasker Variation, Mikėnas Variation, Mikėnas Gambit	Alekhines-Defense-Two-Pawns-Lasker-Variation-Mikenas-Variation-Mikenas-Gambit	Alekhine's Defense	Alekhine's Defense	Two Pawns Attack	Lasker Variation	Mikėnas Variation	Mikėnas Gambit		
Alekhine's Defense: Two Pawns, Steiner Variation	Alekhines-Defense-Two-Pawns-Steiner-Variation	Alekhine's Defense	Alekhine's Defense	Two Pawns Attack	Steiner Variation				
Alekhine's Defense: Two Pawns, The Squirrel Variation	Alekhines-Defense-Two-Pawns-The-Squirrel-Variation	Alekhine's Defense	Alekhine's Defense	Two Pawns Attack	The Squirrel Variation				
Alekhine's Defense: Welling Variation	Alekhines-Defense-Welling-Variation	Alekhine's Defense	Alekhine's Defense	Welling Variation					
Amar Opening	Amar-Opening	Starting Position	Amar Opening						
Amar Opening: Krazy Kat Variation	Amar-Opening-Krazy-Kat-Variation	Starting Position	Amar Opening	Krazy Kat Variation					
Amar Opening: Paris Gambit	Amar-Opening-Paris-Gambit	Starting Position	Amar Opening	Paris Gambit					
Amar Opening: Paris, Gent Gambit	Amar-Opening-Paris-Gent-Gambit	Starting Position	Amar Opening	Paris Gambit	Gent Gambit				
Anderssen Opening	Anderssen-Opening	Starting Position	Anderssen Opening						
Anderssen Opening: Creepy Crawly Formation, Classical Defense	Anderssen-Opening-Creepy-Crawly-Formation-Classical-Defense	Starting Position	Anderssen Opening	Creepy Crawly Formation	Classical Defense				
Anderssen Opening: Hippopotamus Attack	Anderssen-Opening-Hippopotamus-Attack	Starting Position	Anderssen Opening	Hippopotamus Attack					
Anderssen Opening: Polish Gambit	Anderssen-Opening-Polish-Gambit	Starting Position	Anderssen Opening	Polish Gambit					
Anderssen Opening: Shy Attack	Anderssen-Opening-Shy-Attack	Starting Position	Anderssen Opening	Shy Attack					
Barnes Opening	Barnes-Opening	Starting Position	Barnes Opening						
Barnes Opening: Fool's Mate	Barnes-Opening-Fools-Mate	Starting Position	Barnes Opening	Fool's Mate					
Barnes Opening: Gedult Gambit	Barnes-Opening-Gedult-Gambit	Starting Position	Barnes Opening	Gedult Gambit					
Barnes Opening: Gedult Gambit with 3.Nc3	Barnes-Opening-Gedult-Gambit-with-3-Nc3	Starting Position	Barnes Opening	Gedult Gambit	with 3.Nc3				
Benko Gambit	Benko-Gambit	Benko Gambit	Benko Gambit						
Benko Gambit Declined: Bishop Attack	Benko-Gambit-Declined-Bishop-Attack	Benko Gambit	Benko Gambit Declined	Bishop Attack					
Benko Gambit Declined: Hjoerring Countergambit	Benko-Gambit-Declined-Hjoerring-Countergambit	Benko Gambit	Benko Gambit Declined	Hjoerring Countergambit					
Benko Gambit Declined: Main Line	Benko-Gambit-Declined-Main-Line	Benko Gambit	Benko Gambit Declined	Main Line					
Benko Gambit Declined: Mutkin Countergambit	Benko-Gambit-Declined-Mutkin-Countergambit	Benko Gambit	Benko Gambit Declined	Mutkin Countergambit					
Benko Gambit Declined: Pseudo-Sämisch Variation	Benko-Gambit-Declined-Pseudo-Samisch-Variation	Benko Gambit	Benko Gambit Declined	Pseudo-Sämisch Variation					
Benko Gambit Declined: Quiet Line	Benko-Gambit-Declined-Quiet-Line	Benko Gambit	Benko Gambit Declined	Quiet Line					
Benko Gambit Declined: Sosonko Variation	Benko-Gambit-Declined-Sosonko-Variation	Benko Gambit	Benko Gambit Declined	Sosonko Variation					
Benko Gambit Fully-Accepted	Benko-Gambit-Fully-Accepted	Benko Gambit	Benko Gambit Fully-Accepted						
Benko Gambit Fully-Accepted: Central Storming Variation	Benko-Gambit-Fully-Accepted-Central-Storming-Variation	Benko Gambit	Benko Gambit Fully-Accepted	Central Storming Variation					
Benko Gambit Fully-Accepted: Central Storming Variation with 7.f4	Benko-Gambit-Fully-Accepted-Central-Storming-Variation-with-7-f4	Benko Gambit	Benko Gambit Fully-Accepted	Central Storming Variation	with 7.f4				
Benko Gambit Fully-Accepted: Fianchetto Attack	Benko-Gambit-Fully-Accepted-Fianchetto-Attack	Benko Gambit	Benko Gambit Fully-Accepted	Fianchetto Attack					
Benko Gambit Fully-Accepted: Fianchetto Defense	Benko-Gambit-Fully-Accepted-Fianchetto-Defense	Benko Gambit	Benko Gambit Fully-Accepted	Fianchetto Defense					
Benko Gambit Half-Accepted	Benko-Gambit-Half-Accepted	Benko Gambit	Benko Gambit Half-Accepted						
Benko Gambit Half-Accepted: Dlugy Variation	Benko-Gambit-Half-Accepted-Dlugy-Variation	Benko Gambit	Benko Gambit Half-Accepted	Dlugy Variation					
Benko Gambit Half-Accepted: Modern Variation	Benko-Gambit-Half-Accepted-Modern-Variation	Benko Gambit	Benko Gambit Half-Accepted	Modern Variation					
Benko Gambit Half-Accepted: Pawn Return Variation	Benko-Gambit-Half-Accepted-Pawn-Return-Variation	Benko Gambit	Benko Gambit Half-Accepted	Pawn Return Variation					
Benko Gambit Half-Accepted: Zaitsev, Nescafé Frappe Attack	Benko-Gambit-Half-Accepted-Zaitsev-Nescafe-Frappe-Attack	Benko Gambit	Benko Gambit Half-Accepted	Zaitsev System	Nescafé Frappe Attack				
Benko Gambit Half-Accepted: Zaitsev System	Benko-Gambit-Half-Accepted-Zaitsev-System	Benko Gambit	Benko Gambit Half-Accepted	Zaitsev System					
Benoni Defense	Benoni-Defense	Benoni Defense	Benoni Defense						
Benoni Defense: Czech, King's Indian Defense	Benoni-Defense-Czech-Kings-Indian-Defense	Benoni Defense	Benoni Defense	Czech Variation	King's Indian Defense				
Benoni Defense: Czech Variation	Benoni-Defense-Czech-Variation	Benoni Defense	Benoni Defense	Czech Variation					
Benoni Defense: Hromádka, Lundin Variation	Benoni-Defense-Hromadka-Lundin-Variation	Benoni Defense	Benoni Defense	Hromádka System	Lundin Variation				
Benoni Defense: Hromádka System	Benoni-Defense-Hromadka-System	Benko Gambit	Benoni Defense	Hromádka System					
Benoni Defense: Modern, Classical, Argentine Counterattack	Benoni-Defense-Modern-Classical-Argentine-Counterattack	Benoni Defense	Benoni Defense	Modern Variation	Classical Variation	Argentine Counterattack			
Benoni Defense: Modern, Classical, Averbakh-Grivas Attack	Benoni-Defense-Modern-Classical-Averbakh-Grivas-Attack	Benoni Defense	Benoni Defense	Modern Variation	Classical Variation	Averbakh-Grivas Attack			
Benoni Defense: Modern, Classical, Czerniak Defense	Benoni-Defense-Modern-Classical-Czerniak-Defense	Benoni Defense	Benoni Defense	Modern Variation	Classical Variation	Czerniak Defense			
Benoni Defense: Modern, Classical, Czerniak, Tal Line	Benoni-Defense-Modern-Classical-Czerniak-Tal-Line	Benoni Defense	Benoni Defense	Modern Variation	Classical Variation	Czerniak Defense	Tal Line		
Benoni Defense: Modern, Classical, New York Variation	Benoni-Defense-Modern-Classical-New-York-Variation	Benoni Defense	Benoni Defense	Modern Variation	Classical Variation	New York Variation			
Benoni Defense: Modern, Classical Variation	Benoni-Defense-Modern-Classical-Variation	Benoni Defense	Benoni Defense	Modern Variation	Classical Variation				
Benoni Defense: Modern, Fianchetto, Hastings Defense	Benoni-Defense-Modern-Fianchetto-Hastings-Defense	Benoni Defense	Benoni Defense	Modern Variation	Fianchetto Variation	Hastings Defense			
Benoni Defense: Modern, Fianchetto, Hastings, Main Line	Benoni-Defense-Modern-Fianchetto-Hastings-Main-Line	Benoni Defense	Benoni Defense	Modern Variation	Fianchetto Variation	Hastings Defense	Main Line		
Benoni Defense: Modern, Fianchetto Variation	Benoni-Defense-Modern-Fianchetto-Variation	Benoni Defense	Benoni Defense	Modern Variation	Fianchetto Variation				
Benoni Defense: Modern, King's Pawn Line	Benoni-Defense-Modern-Kings-Pawn-Line	Benoni Defense	Benoni Defense	Modern Variation	King's Pawn Line				
Benoni Defense: Modern, Knight's Tour Variation	Benoni-Defense-Modern-Knights-Tour-Variation	Benoni Defense	Benoni Defense	Modern Variation	Knight's Tour Variation				
Benoni Defense: Modern, Pawn Storm, Four Pawns Attack	Benoni-Defense-Modern-Pawn-Storm-Four-Pawns-Attack	Benoni Defense	Benoni Defense	Modern Variation	Pawn Storm Variation	Four Pawns Attack			
Benoni Defense: Modern, Pawn Storm, Four Pawns, Main Line	Benoni-Defense-Modern-Pawn-Storm-Four-Pawns-Main-Line	Benoni Defense	Benoni Defense	Modern Variation	Pawn Storm Variation	Four Pawns Attack	Main Line		
Benoni Defense: Modern, Pawn Storm, Mikėnas Variation	Benoni-Defense-Modern-Pawn-Storm-Mikenas-Variation	Benoni Defense	Benoni Defense	Modern Variation	Pawn Storm Variation	Mikėnas Variation			
Benoni Defense: Modern, Pawn Storm, Taimanov Variation	Benoni-Defense-Modern-Pawn-Storm-Taimanov-Variation	Benoni Defense	Benoni Defense	Modern Variation	Pawn Storm Variation	Taimanov Variation			
Benoni Defense: Modern, Pawn Storm Variation	Benoni-Defense-Modern-Pawn-Storm-Variation	Benoni Defense	Benoni Defense	Modern Variation	Pawn Storm Variation				
Benoni Defense: Modern, Penrose Variation	Benoni-Defense-Modern-Penrose-Variation	Benoni Defense	Benoni Defense	Modern Variation	Penrose Variation				
Benoni Defense: Modern, Snake Variation	Benoni-Defense-Modern-Snake-Variation	Benoni Defense	Benoni Defense	Modern Variation	Snake Variation				
Benoni Defense: Modern, Uhlmann Variation	Benoni-Defense-Modern-Uhlmann-Variation	Benoni Defense	Benoni Defense	Modern Variation	Uhlmann Variation				
Benoni Defense: Modern Variation	Benoni-Defense-Modern-Variation	Benoni Defense	Benoni Defense	Modern Variation					
Benoni Defense: Vulture Defense	Benoni-Defense-Vulture-Defense	Benoni Defense	Benoni Defense	Vulture Defense					
Benoni Defense: Weenink Variation	Benoni-Defense-Weenink-Variation	Benoni Defense	Benoni Defense	Weenink Variation					
Bird's Opening	Birds-Opening	Bird's Opening	Bird's Opening						
Bird's Opening: Batavo-Polish Attack	Birds-Opening-Batavo-Polish-Attack	Bird's Opening	Bird's Opening	Batavo-Polish Attack					
Bird's Opening: Double Duck Formation	Birds-Opening-Double-Duck-Formation	Bird's Opening	Bird's Opening	Double Duck Formation					
Bird's Opening: Dutch, Batavo Gambit	Birds-Opening-Dutch-Batavo-Gambit	Bird's Opening	Bird's Opening	Dutch Variation	Batavo Gambit				
Bird's Opening: Dutch, Dudweiler Gambit	Birds-Opening-Dutch-Dudweiler-Gambit	Bird's Opening	Bird's Opening	Dutch Variation	Dudweiler Gambit				
Bird's Opening: Dutch, Lasker Variation	Birds-Opening-Dutch-Lasker-Variation	Bird's Opening	Bird's Opening	Dutch Variation	Lasker Variation				
Bird's Opening: Dutch, Sturm Gambit	Birds-Opening-Dutch-Sturm-Gambit	Bird's Opening	Bird's Opening	Dutch Variation	Sturm Gambit				
Bird's Opening: Dutch, Thomas Gambit	Birds-Opening-Dutch-Thomas-Gambit	Bird's Opening	Bird's Opening	Dutch Variation	Thomas Gambit				
Bird's Opening: Dutch Variation	Birds-Opening-Dutch-Variation	Bird's Opening	Bird's Opening	Dutch Variation					
Bird's Opening: Dutch, Williams Gambit	Birds-Opening-Dutch-Williams-Gambit	Bird's Opening	Bird's Opening	Dutch Variation	Williams Gambit				
Bird's Opening: Dutch, Williams, Prokofiev Gambit	Birds-Opening-Dutch-Williams-Prokofiev-Gambit	Bird's Opening	Bird's Opening	Dutch Variation	Williams Gambit	Prokofiev Gambit			
Bird's Opening: Dutch, Williams, Zilbermints Variation	Birds-Opening-Dutch-Williams-Zilbermints-Variation	Bird's Opening	Bird's Opening	Dutch Variation	Williams Gambit	Zilbermints Variation			
Bird's Opening: From's Gambit	Birds-Opening-Froms-Gambit	Bird's Opening	Bird's Opening	From's Gambit					
Bird's Opening: From's Gambit, Bahr Gambit	Birds-Opening-Froms-Gambit-Bahr-Gambit	Bird's Opening	Bird's Opening	From's Gambit	Bahr Gambit				
Bird's Opening: From's Gambit, Langheld Gambit	Birds-Opening-Froms-Gambit-Langheld-Gambit	Bird's Opening	Bird's Opening	From's Gambit	Langheld Gambit				
Bird's Opening: From's Gambit, Lasker Gambit	Birds-Opening-Froms-Gambit-Lasker-Gambit	Bird's Opening	Bird's Opening	From's Gambit	Lasker Gambit				
Bird's Opening: From's Gambit, Lasker Variation	Birds-Opening-Froms-Gambit-Lasker-Variation	Bird's Opening	Bird's Opening	From's Gambit	Lasker Variation				
Bird's Opening: From's Gambit, Lipke Variation	Birds-Opening-Froms-Gambit-Lipke-Variation	Bird's Opening	Bird's Opening	From's Gambit	Lipke Variation				
Bird's Opening: From's Gambit, Platz Gambit	Birds-Opening-Froms-Gambit-Platz-Gambit	Bird's Opening	Bird's Opening	From's Gambit	Platz Gambit				
Bird's Opening: From's Gambit, Schlechter Gambit	Birds-Opening-Froms-Gambit-Schlechter-Gambit	Bird's Opening	Bird's Opening	From's Gambit	Schlechter Gambit				
Bird's Opening: From's Gambit, Siegener Gambit	Birds-Opening-Froms-Gambit-Siegener-Gambit	Bird's Opening	Bird's Opening	From's Gambit	Siegener Gambit				
Bird's Opening: Hobbs Gambit	Birds-Opening-Hobbs-Gambit	Bird's Opening	Bird's Opening	Hobbs Gambit					
Bird's Opening: Hobbs-Zilbermints Gambit	Birds-Opening-Hobbs-Zilbermints-Gambit	Bird's Opening	Bird's Opening	Hobbs-Zilbermints Gambit					
Bird's Opening: Horsefly Defense	Birds-Opening-Horsefly-Defense	Bird's Opening	Bird's Opening	Horsefly Defense					
Bird's Opening: Mujannah Formation	Birds-Opening-Mujannah-Formation	Bird's Opening	Bird's Opening	Mujannah Formation					
Bird's Opening: Myers Defense	Birds-Opening-Myers-Defense	Bird's Opening	Bird's Opening	Myers Defense					
Bird's Opening: Swiss Gambit	Birds-Opening-Swiss-Gambit	Bird's Opening	Bird's Opening	Swiss Gambit					
Bird's Opening: Swiss, Wagner-Zwitersch Gambit	Birds-Opening-Swiss-Wagner-Zwitersch-Gambit	Bird's Opening	Bird's Opening	Swiss Gambit	Wagner-Zwitersch Gambit				
Bishop's Opening	Bishops-Opening	Bishop's Opening	Bishop's Opening						
Bishop's Opening: Anderssen Gambit	Bishops-Opening-Anderssen-Gambit	Bishop's Opening	Bishop's Opening	Anderssen Gambit					
Bishop's Opening: Berlin Defense	Bishops-Opening-Berlin-Defense	Bishop's Opening	Bishop's Opening	Berlin Defense					
Bishop's Opening: Berlin, Greco Gambit	Bishops-Opening-Berlin-Greco-Gambit	Bishop's Opening	Bishop's Opening	Berlin Defense	Greco Gambit				
Bishop's Opening: Berlin, Kitchener Folly	Bishops-Opening-Berlin-Kitchener-Folly	Bishop's Opening	Bishop's Opening	Berlin Defense	Kitchener Folly				
Bishop's Opening: Berlin, Krejcik Gambit	Bishops-Opening-Berlin-Krejcik-Gambit	Bishop's Opening	Bishop's Opening	Berlin Defense	Krejcik Gambit				
Bishop's Opening: Berlin, Pachman Gambit	Bishops-Opening-Berlin-Pachman-Gambit	Bishop's Opening	Bishop's Opening	Berlin Defense	Pachman Gambit				
Bishop's Opening: Berlin, Ponziani Gambit	Bishops-Opening-Berlin-Ponziani-Gambit	Bishop's Opening	Bishop's Opening	Berlin Defense	Ponziani Gambit				
Bishop's Opening: Berlin, Ponziani, Urusov Gambit	Bishops-Opening-Berlin-Ponziani-Urusov-Gambit	Bishop's Opening	Bishop's Opening	Berlin Defense	Ponziani Gambit	Urusov Gambit			
Bishop's Opening: Berlin, Ponziani, Urusov, Keidansky Gambit	Bishops-Opening-Berlin-Ponziani-Urusov-Keidansky-Gambit	Bishop's Opening	Bishop's Opening	Berlin Defense	Ponziani Gambit	Urusov Gambit	Keidansky Gambit		
Bishop's Opening: Berlin, Ponziani, Urusov, Panov Variation	Bishops-Opening-Berlin-Ponziani-Urusov-Panov-Variation	Bishop's Opening	Bishop's Opening	Berlin Defense	Ponziani Gambit	Urusov Gambit	Panov Variation		
Bishop's Opening: Berlin, Ponziani, Warsaw Gambit	Bishops-Opening-Berlin-Ponziani-Warsaw-Gambit	Bishop's Opening	Bishop's Opening	Berlin Defense	Ponziani Gambit	Warsaw Gambit			
Bishop's Opening: Berlin, Spielmann Attack	Bishops-Opening-Berlin-Spielmann-Attack	Bishop's Opening	Bishop's Opening	Berlin Defense	Spielmann Attack				
Bishop's Opening: Berlin, Vienna Hybrid, Hromádka Variation	Bishops-Opening-Berlin-Vienna-Hybrid-Hromadka-Variation	Bishop's Opening	Bishop's Opening	Berlin Defense	Vienna Hybrid Variation	Hromádka Variation			
Bishop's Opening: Berlin, Vienna Hybrid Variation	Bishops-Opening-Berlin-Vienna-Hybrid-Variation	Bishop's Opening	Bishop's Opening	Berlin Defense	Vienna Hybrid Variation				
Bishop's Opening: Boi, Lewis Gambit	Bishops-Opening-Boi-Lewis-Gambit	Bishop's Opening	Bishop's Opening	Boi Variation	Lewis Gambit				
Bishop's Opening: Boi, Lopez Variation	Bishops-Opening-Boi-Lopez-Variation	Bishop's Opening	Bishop's Opening	Boi Variation	Lopez Variation				
Bishop's Opening: Boi, Lopez Variation, Lopez Gambit	Bishops-Opening-Boi-Lopez-Variation-Lopez-Gambit	Bishop's Opening	Bishop's Opening	Boi Variation	Lopez Variation	Lopez Gambit			
Bishop's Opening: Boi, Lopez Variation, Lopez Gambit with 4.f4	Bishops-Opening-Boi-Lopez-Variation-Lopez-Gambit-with-4-f4	Bishop's Opening	Bishop's Opening	Boi Variation	Lopez Variation	Lopez Gambit	with 4.f4		
